Figure_2A | d_inf (dimensionless),Figure_2A | V (millivolt)
0.000652965,-60
0.000653836,-59.99
0.000654708,-59.98
0.000655581,-59.97
0.000656455,-59.96
0.00065733,-59.95
0.000658207,-59.94
0.000659084,-59.93
0.000659963,-59.92
0.000660843,-59.91
0.000661724,-59.9
0.000662606,-59.89
0.00066349,-59.88
0.000664374,-59.87
0.00066526,-59.86
0.000666147,-59.85
0.000667036,-59.84
0.000667925,-59.83
0.000668815,-59.82
0.000669707,-59.81
0.0006706,-59.8
0.000671494,-59.79
0.00067239,-59.78
0.000673286,-59.77
0.000674184,-59.76
0.000675083,-59.75
0.000675983,-59.74
0.000676884,-59.73
0.000677787,-59.72
0.00067869,-59.71
0.000679595,-59.7
0.000680501,-59.69
0.000681409,-59.68
0.000682317,-59.67
0.000683227,-59.66
0.000684138,-59.65
0.00068505,-59.64
0.000685963,-59.63
0.000686878,-59.62
0.000687794,-59.61
0.000688711,-59.6
0.000689629,-59.59
0.000690549,-59.58
0.000691469,-59.57
0.000692391,-59.56
0.000693314,-59.55
0.000694239,-59.54
0.000695164,-59.53
0.000696091,-59.52
0.000697019,-59.51
0.000697949,-59.5
0.000698879,-59.49
0.000699811,-59.48
0.000700744,-59.47
0.000701678,-59.46
0.000702614,-59.45
0.000703551,-59.44
0.000704489,-59.43
0.000705428,-59.42
0.000706369,-59.41
0.00070731,-59.4
0.000708253,-59.39
0.000709198,-59.38
0.000710143,-59.37
0.00071109,-59.36
0.000712038,-59.35
0.000712988,-59.34
0.000713938,-59.33
0.00071489,-59.32
0.000715843,-59.31
0.000716798,-59.3
0.000717753,-59.29
0.00071871,-59.28
0.000719668,-59.27
0.000720628,-59.26
0.000721589,-59.25
0.000722551,-59.24
0.000723514,-59.23
0.000724479,-59.22
0.000725445,-59.21
0.000726412,-59.2
0.00072738,-59.19
0.00072835,-59.18
0.000729321,-59.17
0.000730294,-59.16
0.000731267,-59.15
0.000732242,-59.14
0.000733218,-59.13
0.000734196,-59.12
0.000735175,-59.11
0.000736155,-59.1
0.000737137,-59.09
0.000738119,-59.08
0.000739103,-59.07
0.000740089,-59.06
0.000741076,-59.05
0.000742064,-59.04
0.000743053,-59.03
0.000744044,-59.02
0.000745036,-59.01
0.000746029,-59
0.000747023,-58.99
0.000748019,-58.98
0.000749017,-58.97
0.000750015,-58.96
0.000751015,-58.95
0.000752016,-58.94
0.000753019,-58.93
0.000754023,-58.92
0.000755028,-58.91
0.000756035,-58.9
0.000757043,-58.89
0.000758052,-58.88
0.000759063,-58.87
0.000760075,-58.86
0.000761088,-58.85
0.000762103,-58.84
0.000763119,-58.83
0.000764136,-58.82
0.000765155,-58.81
0.000766175,-58.8
0.000767197,-58.79
0.000768219,-58.78
0.000769244,-58.77
0.000770269,-58.76
0.000771296,-58.75
0.000772324,-58.74
0.000773354,-58.73
0.000774385,-58.72
0.000775417,-58.71
0.000776451,-58.7
0.000777486,-58.69
0.000778523,-58.68
0.000779561,-58.67
0.0007806,-58.66
0.000781641,-58.65
0.000782683,-58.64
0.000783726,-58.63
0.000784771,-58.62
0.000785817,-58.61
0.000786865,-58.6
0.000787914,-58.59
0.000788964,-58.58
0.000790016,-58.57
0.00079107,-58.56
0.000792124,-58.55
0.00079318,-58.54
0.000794238,-58.53
0.000795296,-58.52
0.000796357,-58.51
0.000797418,-58.5
0.000798481,-58.49
0.000799546,-58.48
0.000800612,-58.47
0.000801679,-58.46
0.000802748,-58.45
0.000803818,-58.44
0.00080489,-58.43
0.000805963,-58.42
0.000807037,-58.41
0.000808113,-58.4
0.000809191,-58.39
0.000810269,-58.38
0.000811349,-58.37
0.000812431,-58.36
0.000813514,-58.35
0.000814599,-58.34
0.000815685,-58.33
0.000816772,-58.32
0.000817861,-58.31
0.000818951,-58.3
0.000820043,-58.29
0.000821136,-58.28
0.000822231,-58.27
0.000823327,-58.26
0.000824425,-58.25
0.000825524,-58.24
0.000826624,-58.23
0.000827726,-58.22
0.00082883,-58.21
0.000829935,-58.2
0.000831041,-58.19
0.000832149,-58.18
0.000833258,-58.17
0.000834369,-58.16
0.000835481,-58.15
0.000836595,-58.14
0.00083771,-58.13
0.000838827,-58.12
0.000839945,-58.11
0.000841065,-58.1
0.000842186,-58.09
0.000843309,-58.08
0.000844433,-58.07
0.000845559,-58.06
0.000846686,-58.05
0.000847815,-58.04
0.000848945,-58.03
0.000850077,-58.02
0.00085121,-58.01
0.000852345,-58
0.000853481,-57.99
0.000854619,-57.98
0.000855758,-57.97
0.000856899,-57.96
0.000858041,-57.95
0.000859185,-57.94
0.00086033,-57.93
0.000861477,-57.92
0.000862626,-57.91
0.000863776,-57.9
0.000864927,-57.89
0.00086608,-57.88
0.000867235,-57.87
0.000868391,-57.86
0.000869548,-57.85
0.000870708,-57.84
0.000871868,-57.83
0.00087303,-57.82
0.000874194,-57.81
0.00087536,-57.8
0.000876527,-57.79
0.000877695,-57.78
0.000878865,-57.77
0.000880037,-57.76
0.00088121,-57.75
0.000882384,-57.74
0.000883561,-57.73
0.000884738,-57.72
0.000885918,-57.71
0.000887099,-57.7
0.000888281,-57.69
0.000889465,-57.68
0.000890651,-57.67
0.000891838,-57.66
0.000893027,-57.65
0.000894218,-57.64
0.00089541,-57.63
0.000896603,-57.62
0.000897799,-57.61
0.000898995,-57.6
0.000900194,-57.59
0.000901394,-57.58
0.000902595,-57.57
0.000903798,-57.56
0.000905003,-57.55
0.00090621,-57.54
0.000907418,-57.53
0.000908627,-57.52
0.000909838,-57.51
0.000911051,-57.5
0.000912266,-57.49
0.000913482,-57.48
0.000914699,-57.47
0.000915919,-57.46
0.00091714,-57.45
0.000918362,-57.44
0.000919586,-57.43
0.000920812,-57.42
0.00092204,-57.41
0.000923269,-57.4
0.000924499,-57.39
0.000925732,-57.38
0.000926966,-57.37
0.000928201,-57.36
0.000929439,-57.35
0.000930677,-57.34
0.000931918,-57.33
0.00093316,-57.32
0.000934404,-57.31
0.00093565,-57.3
0.000936897,-57.29
0.000938146,-57.28
0.000939396,-57.27
0.000940648,-57.26
0.000941902,-57.25
0.000943158,-57.24
0.000944415,-57.23
0.000945674,-57.22
0.000946934,-57.21
0.000948197,-57.2
0.000949461,-57.19
0.000950726,-57.18
0.000951993,-57.17
0.000953262,-57.16
0.000954533,-57.15
0.000955805,-57.14
0.000957079,-57.13
0.000958355,-57.12
0.000959633,-57.11
0.000960912,-57.1
0.000962193,-57.09
0.000963475,-57.08
0.000964759,-57.07
0.000966045,-57.06
0.000967333,-57.05
0.000968622,-57.04
0.000969913,-57.03
0.000971206,-57.02
0.000972501,-57.01
0.000973797,-57
0.000975095,-56.99
0.000976395,-56.98
0.000977696,-56.97
0.000978999,-56.96
0.000980304,-56.95
0.000981611,-56.94
0.000982919,-56.93
0.00098423,-56.92
0.000985541,-56.91
0.000986855,-56.9
0.00098817,-56.89
0.000989488,-56.88
0.000990807,-56.87
0.000992127,-56.86
0.00099345,-56.85
0.000994774,-56.84
0.0009961,-56.83
0.000997427,-56.82
0.000998757,-56.81
0.00100009,-56.8
0.00100142,-56.79
0.00100276,-56.78
0.00100409,-56.77
0.00100543,-56.76
0.00100677,-56.75
0.00100811,-56.74
0.00100946,-56.73
0.0010108,-56.72
0.00101215,-56.71
0.0010135,-56.7
0.00101485,-56.69
0.0010162,-56.68
0.00101756,-56.67
0.00101891,-56.66
0.00102027,-56.65
0.00102163,-56.64
0.00102299,-56.63
0.00102436,-56.62
0.00102572,-56.61
0.00102709,-56.6
0.00102846,-56.59
0.00102983,-56.58
0.0010312,-56.57
0.00103257,-56.56
0.00103395,-56.55
0.00103533,-56.54
0.00103671,-56.53
0.00103809,-56.52
0.00103947,-56.51
0.00104086,-56.5
0.00104225,-56.49
0.00104364,-56.48
0.00104503,-56.47
0.00104642,-56.46
0.00104781,-56.45
0.00104921,-56.44
0.00105061,-56.43
0.00105201,-56.42
0.00105341,-56.41
0.00105482,-56.4
0.00105622,-56.39
0.00105763,-56.38
0.00105904,-56.37
0.00106045,-56.36
0.00106186,-56.35
0.00106328,-56.34
0.0010647,-56.33
0.00106612,-56.32
0.00106754,-56.31
0.00106896,-56.3
0.00107038,-56.29
0.00107181,-56.28
0.00107324,-56.27
0.00107467,-56.26
0.0010761,-56.25
0.00107754,-56.24
0.00107897,-56.23
0.00108041,-56.22
0.00108185,-56.21
0.00108329,-56.2
0.00108474,-56.19
0.00108618,-56.18
0.00108763,-56.17
0.00108908,-56.16
0.00109053,-56.15
0.00109198,-56.14
0.00109344,-56.13
0.0010949,-56.12
0.00109636,-56.11
0.00109782,-56.1
0.00109928,-56.09
0.00110075,-56.08
0.00110221,-56.07
0.00110368,-56.06
0.00110515,-56.05
0.00110662,-56.04
0.0011081,-56.03
0.00110958,-56.02
0.00111106,-56.01
0.00111254,-56
0.00111402,-55.99
0.0011155,-55.98
0.00111699,-55.97
0.00111848,-55.96
0.00111997,-55.95
0.00112146,-55.94
0.00112296,-55.93
0.00112445,-55.92
0.00112595,-55.91
0.00112745,-55.9
0.00112895,-55.89
0.00113046,-55.88
0.00113197,-55.87
0.00113347,-55.86
0.00113499,-55.85
0.0011365,-55.84
0.00113801,-55.83
0.00113953,-55.82
0.00114105,-55.81
0.00114257,-55.8
0.00114409,-55.79
0.00114562,-55.78
0.00114714,-55.77
0.00114867,-55.76
0.0011502,-55.75
0.00115174,-55.74
0.00115327,-55.73
0.00115481,-55.72
0.00115635,-55.71
0.00115789,-55.7
0.00115943,-55.69
0.00116098,-55.68
0.00116252,-55.67
0.00116407,-55.66
0.00116562,-55.65
0.00116718,-55.64
0.00116873,-55.63
0.00117029,-55.62
0.00117185,-55.61
0.00117341,-55.6
0.00117497,-55.59
0.00117654,-55.58
0.00117811,-55.57
0.00117968,-55.56
0.00118125,-55.55
0.00118282,-55.54
0.0011844,-55.53
0.00118598,-55.52
0.00118756,-55.51
0.00118914,-55.5
0.00119073,-55.49
0.00119231,-55.48
0.0011939,-55.47
0.00119549,-55.46
0.00119709,-55.45
0.00119868,-55.44
0.00120028,-55.43
0.00120188,-55.42
0.00120348,-55.41
0.00120508,-55.4
0.00120669,-55.39
0.0012083,-55.38
0.00120991,-55.37
0.00121152,-55.36
0.00121314,-55.35
0.00121475,-55.34
0.00121637,-55.33
0.00121799,-55.32
0.00121961,-55.31
0.00122124,-55.3
0.00122287,-55.29
0.0012245,-55.28
0.00122613,-55.27
0.00122776,-55.26
0.0012294,-55.25
0.00123104,-55.24
0.00123268,-55.23
0.00123432,-55.22
0.00123596,-55.21
0.00123761,-55.2
0.00123926,-55.19
0.00124091,-55.18
0.00124257,-55.17
0.00124422,-55.16
0.00124588,-55.15
0.00124754,-55.14
0.0012492,-55.13
0.00125087,-55.12
0.00125253,-55.11
0.0012542,-55.1
0.00125587,-55.09
0.00125755,-55.08
0.00125922,-55.07
0.0012609,-55.06
0.00126258,-55.05
0.00126426,-55.04
0.00126595,-55.03
0.00126764,-55.02
0.00126932,-55.01
0.00127102,-55
0.00127271,-54.99
0.00127441,-54.98
0.0012761,-54.97
0.0012778,-54.96
0.00127951,-54.95
0.00128121,-54.94
0.00128292,-54.93
0.00128463,-54.92
0.00128634,-54.91
0.00128805,-54.9
0.00128977,-54.89
0.00129149,-54.88
0.00129321,-54.87
0.00129493,-54.86
0.00129666,-54.85
0.00129839,-54.84
0.00130012,-54.83
0.00130185,-54.82
0.00130358,-54.81
0.00130532,-54.8
0.00130706,-54.79
0.0013088,-54.78
0.00131055,-54.77
0.00131229,-54.76
0.00131404,-54.75
0.00131579,-54.74
0.00131755,-54.73
0.0013193,-54.72
0.00132106,-54.71
0.00132282,-54.7
0.00132458,-54.69
0.00132635,-54.68
0.00132811,-54.67
0.00132988,-54.66
0.00133166,-54.65
0.00133343,-54.64
0.00133521,-54.63
