f_inf (dimensionless),V (millivolt)
0.999811,-80
0.99981,-79.99
0.99981,-79.98
0.99981,-79.97
0.99981,-79.96
0.999809,-79.95
0.999809,-79.94
0.999809,-79.93
0.999808,-79.92
0.999808,-79.91
0.999808,-79.9
0.999808,-79.89
0.999807,-79.88
0.999807,-79.87
0.999807,-79.86
0.999806,-79.85
0.999806,-79.84
0.999806,-79.83
0.999806,-79.82
0.999805,-79.81
0.999805,-79.8
0.999805,-79.79
0.999805,-79.78
0.999804,-79.77
0.999804,-79.76
0.999804,-79.75
0.999803,-79.74
0.999803,-79.73
0.999803,-79.72
0.999803,-79.71
0.999802,-79.7
0.999802,-79.69
0.999802,-79.68
0.999801,-79.67
0.999801,-79.66
0.999801,-79.65
0.999801,-79.64
0.9998,-79.63
0.9998,-79.62
0.9998,-79.61
0.999799,-79.6
0.999799,-79.59
0.999799,-79.58
0.999799,-79.57
0.999798,-79.56
0.999798,-79.55
0.999798,-79.54
0.999797,-79.53
0.999797,-79.52
0.999797,-79.51
0.999797,-79.5
0.999796,-79.49
0.999796,-79.48
0.999796,-79.47
0.999795,-79.46
0.999795,-79.45
0.999795,-79.44
0.999795,-79.43
0.999794,-79.42
0.999794,-79.41
0.999794,-79.4
0.999793,-79.39
0.999793,-79.38
0.999793,-79.37
0.999792,-79.36
0.999792,-79.35
0.999792,-79.34
0.999792,-79.33
0.999791,-79.32
0.999791,-79.31
0.999791,-79.3
0.99979,-79.29
0.99979,-79.28
0.99979,-79.27
0.999789,-79.26
0.999789,-79.25
0.999789,-79.24
0.999789,-79.23
0.999788,-79.22
0.999788,-79.21
0.999788,-79.2
0.999787,-79.19
0.999787,-79.18
0.999787,-79.17
0.999786,-79.16
0.999786,-79.15
0.999786,-79.14
0.999786,-79.13
0.999785,-79.12
0.999785,-79.11
0.999785,-79.1
0.999784,-79.09
0.999784,-79.08
0.999784,-79.07
0.999783,-79.06
0.999783,-79.05
0.999783,-79.04
0.999782,-79.03
0.999782,-79.02
0.999782,-79.01
0.999782,-79
0.999781,-78.99
0.999781,-78.98
0.999781,-78.97
0.99978,-78.96
0.99978,-78.95
0.99978,-78.94
0.999779,-78.93
0.999779,-78.92
0.999779,-78.91
0.999778,-78.9
0.999778,-78.89
0.999778,-78.88
0.999777,-78.87
0.999777,-78.86
0.999777,-78.85
0.999776,-78.84
0.999776,-78.83
0.999776,-78.82
0.999776,-78.81
0.999775,-78.8
0.999775,-78.79
0.999775,-78.78
0.999774,-78.77
0.999774,-78.76
0.999774,-78.75
0.999773,-78.74
0.999773,-78.73
0.999773,-78.72
0.999772,-78.71
0.999772,-78.7
0.999772,-78.69
0.999771,-78.68
0.999771,-78.67
0.999771,-78.66
0.99977,-78.65
0.99977,-78.64
0.99977,-78.63
0.999769,-78.62
0.999769,-78.61
0.999769,-78.6
0.999768,-78.59
0.999768,-78.58
0.999768,-78.57
0.999767,-78.56
0.999767,-78.55
0.999767,-78.54
0.999766,-78.53
0.999766,-78.52
0.999766,-78.51
0.999765,-78.5
0.999765,-78.49
0.999765,-78.48
0.999764,-78.47
